ing,ing_func,cir,ewg
PPG-3 Myristyl Ether,"['Emollient', 'Skin Conditioning']",nan,1.0
Citrus Aurantifolia (Lime) Juice,['Skin Conditioning'],B,2.0
Citrus Limon (Lemon) Juice,[''],B,2.0
Glucosylrutin,['Antioxidant'],nan,1.0
rh-Oligopeptide-2,[''],nan,1.0
Sodium Polyacrylate Starch,"['Absorbent', 'Binding', 'Binding Agent', 'Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Aesculus Hippocastanum (Horse Chestnut) Extract,[''],nan,1.0
Polydecene,['Skin Conditioning'],A,1.0
Diethylhexyl Adipate,"['Emollient', 'Film Forming', 'Plasticizer', 'Skin Conditioning', 'Solvent']",A,4.0
Hydrolyzed Elastin,"['Antistatic Agent', 'Film Forming', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Citrus Aurantium Amara (Bitter Orange) Fruit Extract,[''],B,1.0
Glycine Soja (Soybean),[''],nan,1.0
Polyperfluoromethylisopropyl Ether,['Skin Conditioning'],nan,6.0
Polyglyceryl-3 Stearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Passiflora Edulis Seed Oil,['Emollient'],A,1.0
Ananas Sativus (pineapple) fruit juice,['Skin Conditioning'],nan,1.0
Polysilicone-8,"['Antifoaming Agent', 'Film Forming', 'Hair Conditioning']",nan,1.0
Oenothera Biennis (Evening Primrose) Seed,['Abrasive'],nan,1.0
Tagetes Erecta Flower Oil,"['Masking', 'Perfuming']",nan,1.0
Vanilla Planifolia (Vanilla) Oil,[''],nan,1.0
Polyglyceryl-2 Sesquioleate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Polyglyceryl-6 Caprylate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Elaeis Guineensis (Palm) Kernel Oil,[''],A,1.0
Retinyl Acetate,['Skin Conditioning'],nan,9.0
Macrocystis Pyrifera (Kelp),"['Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Palmitoyl Pentapeptide-3,[''],nan,1.0
Hydrolyzed Corallina Officinalis,['Skin Conditioning'],nan,1.0
Citrus Sinensis (Orange) Fruit Extract,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Hydrogenated Jojoba Oil,"['Abrasive', 'Emollient', 'Skin Conditioning']",A,1.0
Nitrogen,['Propellant'],nan,1.0
Dodecene,"['Fragrance', 'Masking', 'Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",nan,1.0
Disodium Coco-Glucoside Citrate,"['Emulsifying', 'Surfactant']",nan,1.0
Sodium Coco-Glucoside Tartrate,"['Cleansing', 'Emulsifying', 'Surfactant']",nan,1.0
Piper Nigrum (Pepper) Fruit Oil,[''],nan,1.0
Gelatin,"['Binding Agent', 'Film Forming', 'Hair Conditioning', 'Lytic Agent', 'Skin-Conditioningagent - Miscellaneous', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Calcium Stearate,"['Anticaking Agent', 'Colorant', 'Cosmetic Colorant', 'Emulsion Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Calcium Carbonate,"['Abrasive', 'Buffering Agent', 'Bulking Agent', 'Opacifying']",nan,1.0
Ammonium Hydroxide,"['Buffering Agent', 'Denaturant', 'Ph Adjuster']",nan,3.0
Dipotassium EDTA,['Chelating Agent'],A,1.0
Keratin,"['Hair Conditioning', 'Skin Conditioning']",A,2.0
Pentane,"['Propellant', 'Solvent', 'Viscosity Decreasing Agent']",nan,2.0
Sodium Styrene/Acrylates Copolymer,"['Film Forming', 'Opacifying', 'Viscosity Controlling']",A,1.0
PEG-20 Sorbitan Isostearate,"['Emulsifying', 'Sufactant', 'Surfactant']",B,5.0
Serenoa Serrulata Fruit Extract,"['Lytic Agent', 'Skin Conditioning']",nan,1.0
Trideceth-12,"['Emulsifying', 'Surfactant']",B,1.0
PPG-5-Ceteth-10 Phosphate,"['Emulsifying', 'Surfactant']",nan,2.0
Yeast,['Skin Conditioning'],nan,1.0
Zea Mays (Corn) Kernel Meal,"['Abrasive', 'Binding', 'Bulking Agent']",A,1.0
Arachis Hypogaea (Peanut) Oil,"['Emollient', 'Skin-Conditioning Agent - Occlusive', 'Solvent']",A,1.0
Magnesium Potassium Fluorosilicate,['Abrasive'],nan,1.0
Fusanus Spicatus Wood Oil,"['Fragrance', 'Perfuming']",nan,1.0
Ethyl Ether,"['Fragrance', 'Solvent']",nan,1.0
Potassium Citrate,"['Buffering Agent', 'Chelating Agent', 'Ph Adjuster']",A,1.0
Ocimum(Basil),[''],nan,1.0
4-Methylbenzylidene Camphor,"['Uv Absorber', 'Uv Filter']",nan,7.0
PEG-9 Dimethicone,"['Hair Conditioning', 'Skin Conditioning']",A,3.0
Rubus Chamaemorus Seed Extract,['Skin Conditioning'],nan,1.0
Diheptyl Succinate,"['Emollient', 'Skin Conditioning']",nan,1.0
Leontopodium Alpinum Meristem Cell Culture,['Skin Conditioning'],nan,1.0
Capryloyl Glycerin/Sebacic Acid Copolymer,"['Film Forming', 'Hair Conditioning', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Guar Powder,[''],nan,1.0
Triticum Vulgare (Wheat) Protein,"['Buffering Agent', 'Emollient', 'Film Forming', 'Hair Conditioning', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Soy Amino Acids,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Equisetum Hiemale Extract,"['Cleansing', 'Emollient', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Undaria Pinnatifida Extract,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Tilia Cordata Extract,"['Refreshing', 'Skin Conditioning', 'Skin Protecting', 'Smoothing', 'Soothing']",nan,1.0
Polygonum Cuspidatum Extract,"['Cosmetic Astringent', 'Skin Conditioning']",nan,1.0
Sambucus Nigra Flower,['Skin Conditioning'],nan,1.0
Glyceryl Olivate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Dextran Sulfate,"['Binding', 'Binding Agent', 'Skin Conditioning']",A,1.0
Escin,['Tonic'],nan,1.0
Glycol Palmitate,"['Emollient', 'Emulsifying', 'Emulsion Stabilising', 'Opacifying', 'Skin Conditioning']",nan,1.0
Alpha Lipoic Acid,[''],nan,1.0
Dimethyl MEA,"['Buffering Agent', 'Ph Adjuster']",nan,4.0
PEG-150 Stearate,['Surfactant'],A,3.0
Glutamine,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Lonicera Japonica (Honeysuckle) Leaf Extract,['Skin Conditioning'],nan,1.0
Brassica Oleracea Italica (Broccoli) Sprout Extract,[''],nan,1.0
Propylene Glycol Alginate,"['Binding', 'Binding Agent', 'Fragrance', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Stevia Rebaudiana Extract,['Flavoring Agent'],nan,1.0
Garcinia Indica Seed Butter,['Skin Conditioning'],A,1.0
Palm Glycerides,"['Emollient', 'Emulsifying', 'Skin Conditioning']",nan,1.0
Ximenia Americana Seed Oil,"['Emollient', 'Masking']",nan,1.0
Prunus Dulcis (Almond),[''],nan,1.0
Citrus medica,[''],nan,1.0
Butyl Avocadate,['Skin Conditioning'],B,1.0
Nephelium Longana Seed Extract,['Skin Conditioning'],nan,1.0
Hydrolyzed Lupine Protein,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
DI-C12-13 Alkyl Malate,"['Emollient', 'Skin Conditioning']",A,1.0
Shorea Robusta Seed Butter,"['Emollient', 'Skin Conditioning']",nan,1.0
Sodium Methyl Isethionate,['Emulsifying'],nan,1.0
Zinc Coceth Sulfate,"['Cleansing', 'Emulsifying', 'Surfactant']",B,3.0
Ceteareth-60 Myristyl Glycol,"['Emulsifying', 'Surfactant']",nan,7.0
Octyldodecyl Stearate,"['Emollient', 'Skin-Conditioning Agent - Occlusive']",B,1.0
Allantoin Glycyrrhetinic Acid,"['Skin Conditioning', 'Skin Protecting', 'Soothing']",A,1.0
Brassica Napus Extract,['Skin Conditioning'],nan,1.0
Prunus Amygdalus Amara (Bitter Almond) Kernel Oil,"['Fragrance', 'Masking']",nan,1.0
Rosa Damascena (Rose) Oil,[''],nan,1.0
PEG-32 Stearate,"['Emulsifying', 'Surfactant']",A,3.0
PEG-6 Stearate,"['Emulsifying', 'Surfactant']",A,3.0
Stearoxymethicone/Dimethicone Copolymer,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling']",A,1.0
Laureth-7 Citrate,"['Cleansing', 'Surfactant']",nan,2.0
MIPA-Laureth Sulfate,"['Cleansing', 'Surfactant']",nan,4.0
Di-PPG-2 Myreth-10 Adipate,"['Emollient', 'Skin Conditioning', 'Surfactant']",nan,1.0
Cetyl Triethylmonium Dimethicone PEG-8 Succinate,['Hair Conditioning'],nan,3.0
Dicaprylate/Dicaprate,[''],nan,1.0
Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer,['Film Forming'],nan,1.0
Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Chrysanthemum Sinense Flower Extract,"['Cleansing', 'Surfactant']",nan,1.0
Camellia Japonica Flower Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Gypsophila Paniculata Root Extract,['Skin Conditioning'],nan,1.0
Styrene/Isoprene Copolymer,"['Film Forming', 'Opacifying']",A,1.0
Polyurethane-6,"['Binding Agent', 'Film Forming', 'Hair Fixing']",nan,1.0
Platinum Powder,"['Abrasive', 'Skin Conditioning']",nan,1.0
Hydrolyzed Viola Tricolor Extract,['Skin Protecting'],nan,1.0
Carica Papaya Fruit,['Skin Conditioning'],nan,1.0
Calcium Hydroxide,"['Buffering Agent', 'Ph Adjuster']",B,4.0
Cinnamal,"['Denaturant', 'Flavoring Agent', 'Fragrance', 'Masking']",nan,7.0
Diamond powder,['Abrasive'],nan,1.0
Polylactic Acid,['Abrasive'],nan,1.0
PEG-15 Glyceryl Isostearate,"['Emulsifying', 'Surfactant']",nan,3.0
Pumice,"['Abrasive', 'Bulking Agent', 'Viscosity Controlling']",nan,1.0
Magnolia Liliflora Bud Extract,['Skin Conditioning'],nan,1.0
Prunus Armeniaca (Apricot) Kernel Extract,['Skin Conditioning'],nan,1.0
Silybum Marianum Seed Extract,['Skin Conditioning'],nan,1.0
Isopropyl Titanium Triisostearate,"['Emollient', 'Emulsifying', 'Surface Modifier']",nan,1.0
Polydodecanamideaminium Triazadiphenylethenesulfonate,"['Cosmetic Colorant', 'Opacifying']",nan,1.0
Polyvinylalcohol Crosspolymer,['Bulking Agent'],nan,1.0
Ethylene/Methacrylate Copolymer,['Film Forming'],B,2.0
Hydrogenated Vegetable Glycerides Citrate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Stabilising', 'Surfactant']",nan,1.0
Simmondsia Chinensis (Jojoba) Butter,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Dicetyl Phosphate,"['Emulsifying', 'Surfactant']",B,1.0
Ceteth-10 Phosphate,"['Cleansing', 'Surfactant']",nan,3.0
Carthamus Tinctorius (Safflower) Oil,[''],nan,1.0
Triticum Vulgare (Wheat) Germ Oil Unsaponifiables,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Olea Europaea (Olive) Oil Unsaponifiables,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Glycine Soja (Soybean) Oil Unsaponifiables,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Tetradibutyl Pentaerithrityl Hydroxyhydrocinnamate,['Antioxidant'],nan,1.0
Anise Alcohol,"['Fragrance', 'Masking']",nan,5.0
Origanum Majorana Leaf Extract,"['Antiseborrhoeic', 'Refreshing', 'Tonic']",nan,1.0
Pelargonium Graveolens Extract,"['Masking', 'Skin Conditioning']",nan,1.0
Hamamelis Virginiana Flower Water,"['Astringent', 'Hair Conditioning', 'Skin Conditioning', 'Soothing']",nan,1.0
Citrus Aurantium Dulcis (Orange) Peel,[''],nan,1.0
Genistein,['Skin Conditioning'],nan,1.0
Aluminum/Magnesium Hydroxide Stearate,"['Emulsion Stabilising', 'Viscosity Controlling']",nan,1.0
Cola Nitida Seed Extract,['Skin Conditioning'],nan,1.0
Saponaria Officinalis (Soapwort) Extract,['Skin Conditioning'],nan,1.0
Glyceryl Rosinate,"['Emollient', 'Emulsifying', 'Film Forming', 'Fragrance', 'Perfuming', 'Skin Conditioning', 'Surfactant']",A,6.0
Malt Extract,"['Skin Conditioning', 'Skin Protecting', 'Tonic']",nan,1.0
Trimethylolpropane Triethylhexanoate,"['Emollient', 'Skin Conditioning']",nan,1.0
PEG-8 Stearate,"['Emulsifying', 'Humectant', 'Surfactant']",A,3.0
Actinidia Chinensis (Kiwi) Fruit Juice,[''],nan,1.0
Saponins,"['Cleansing', 'Emulsifying', 'Surfactant']",nan,1.0
Sucrose Tristearate,"['Emollient', 'Emulsifying', 'Skin Conditioning']",nan,1.0
Polysorbate 61,"['Emulsifying', 'Fragrance', 'Surfactant']",B,1.0
Ulmus Fulva Bark Extract,['Moisturising'],nan,1.0
Alpha-Hydroxy Acids,[''],nan,4.0
Trametes Versicolor Extract,['Hair Conditioning'],nan,1.0
Carnitine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
Emblica Officinalis Fruit Extract,['Skin Conditioning'],nan,1.0
Limonia Acidissima Wood Powder,['Absorbent'],nan,4.0
Neopentyl Glycol Dicaprylate/Dicaprate,"['Emollient', 'Skin Conditioning']",nan,1.0
Ceteareth-33,"['Cleansing', 'Emulsifying', 'Surfactant']",B,3.0
Retinal,['Skin Conditioning'],nan,6.0
Diacetyl Boldine,['Skin Conditioning'],nan,1.0
Sophora Japonica (Japanese Pagoda Tree) Extract,['Skin Protecting'],nan,1.0
Lactobacillus/Kelp Ferment Filtrate,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Melissa Officinalis (Lemon Balm) Water,['Skin Conditioning'],nan,1.0
Quaternium-18 Bentonite,"['Suspending Agent - Nonsurfactant', 'Viscosity Controlling']",A,2.0
Zea Mays (Corn) Kernel Extract,"['Binding', 'Bulking Agent']",A,1.0
Polyimide-1,"['Film Forming', 'Hair Fixing']",nan,1.0
Elastin,"['Hair Conditioning', 'Skin Conditioning', 'Smoothing']",nan,1.0
Aluminum Tristearate,"['Anticaking Agent', 'Emollient', 'Emulsion Stabilising', 'Opacifying', 'Viscosity Controlling']",A,2.0
Sodium Polystyrene Sulfonate,"['Emulsion Stabilising', 'Film Forming', 'Gel Forming', 'Surfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent- Aqueous']",nan,1.0
Sorghum Bicolor Stalk Juice,['Skin Conditioning'],nan,1.0
Ethyl Methicone,['Emollient'],nan,1.0
Nelumbo Nucifera Flower Powder,['Skin Conditioning'],nan,1.0
Octyldodecyl Citrate Crosspolymer,['Humectant'],nan,1.0
Hydroxyapatite,"['Abrasive', 'Bulking Agent', 'Emulsion Stabilising']",nan,1.0
Cereus Grandiflorus (Cactus) Flower Extract,[''],nan,1.0
Pinus Densiflora Extract,['Antioxidant'],nan,1.0
Moringa Pterygosperma Seed Oil,['Skin Conditioning'],A,1.0
Tosylamide,['Plasticizer'],nan,3.0
Di-PPG-3 Myristyl Ether Adipate,"['Emollient', 'Film Forming', 'Skin Conditioning', 'Solvent']",nan,1.0
Cocos Nucifera (Coconut) Fruit Juice,"['Emollient', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Dipteryx Odorata Bean Extract,"['Masking', 'Perfuming']",nan,1.0
Hydrolyzed Quinoa,['Skin Conditioning'],nan,1.0
Citrus Aurantium Dulcis (Orange) Peel Powder,['Absorbent'],B,1.0
Phalaenopsis Amabilis Extract,['Humectant'],nan,1.0
Rhododendron Ferrugineum Leaf Cell Culture Extract,['Skin Conditioning'],nan,1.0
Isomalt,"['Anticaking Agent', 'Bulking Agent', 'Flavoring Agent', 'Humectant']",A,1.0
Hydrolyzed Milk Protein,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Helichrysum Italicum (Everlasting) Oil,[''],nan,1.0
Fucus Serratus Extract,['Skin Protecting'],nan,1.0
Citrus limon (Lemon),[''],nan,1.0
Phytol,"['Emollient', 'Fragrance', 'Masking', 'Skin Conditioning']",nan,1.0
PEG-7 Olivate,"['Emulsifying', 'Surfactant']",nan,3.0
Coriandrum Sativum (Coriander) Seed Oil,[''],nan,1.0
Camellia Sinensis Root Extract,"['Perfuming', 'Skin Conditioning']",nan,1.0
Iron Dioxide,[''],nan,1.0
Aloe Barbadensis (Aloe Vera) Powder,[''],nan,3.0
Methoxy PEG-22/Dodecyl Glycol Copolymer,"['Emulsion Stabilising', 'Viscosity Controlling']",nan,3.0
PEG-2 Hydrogenated Castor Oil,"['Emollient', 'Emulsifying', 'Fragrance', 'Skin Conditioning', 'Surfactant']",B,3.0
PEG-45/Dodecyl Glycol Copolymer,['Emulsion Stabilising'],nan,3.0
PEG-7 Hydrogenated Castor Oil,"['Emollient', 'Emulsifying', 'Fragrance', 'Skin Conditioning', 'Surfactant']",B,3.0
Distearyl Ether,['Skin Conditioning'],nan,1.0
PPG-17,['Skin Conditioning'],nan,1.0
rh-Polypeptide-1,[''],nan,1.0
Sapindus Marginatus (Soapberry) Extract,[''],nan,1.0
DL-Panthenol,[''],nan,1.0
Terminalia Chebula Fruit Extract,['Skin Conditioning'],nan,1.0
Tussilago Farfara (Coltsfoot) Flower Extract,"['Astringent', 'Emollient']",nan,1.0
Chaenomeles Sinensis Fruit Extract,"['Antioxidant', 'Astringent', 'Emollient', 'Hair Conditioning', 'Humectant', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Triticum Vulgare (Wheat) Flour Extract,['Skin Conditioning'],nan,1.0
Artemisia Princeps Leaf Water,['Masking'],nan,1.0
Aquilaria Agallocha Stem Extract,['Skin Conditioning'],nan,1.0
Polyacrylate-1,"['Film Forming', 'Hair Conditioning']",nan,1.0
Cinnamomum Camphora (Camphor) Oil,"['Fragrance', 'Masking', 'Skin Conditioning', 'Tonic']",nan,1.0
Nigella Sativa Seed Oil,"['Emollient', 'Perfuming', 'Skin Conditioning']",nan,1.0
Avena Strigosa Seed Extract,['Skin Conditioning'],nan,1.0
Propylene Glycol Laurate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Polyacrylate-4,['Opacifying'],nan,1.0
Polypropylene,"['Bulking Agent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Hydroxypropyl Tetrahydropyrantriol,['Skin Conditioning'],nan,1.0
Zinc Citrate,['Cosmetic Biocide'],A,3.0
Acacia Concinna Fruit Extract,['Skin Conditioning'],nan,1.0
Bis-PEG/PPG-16/16 PEG/PPG-16/16 Dimethicone,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",A,3.0
Trilaureth-4 Phosphate,"['Emulsifying', 'Surfactant']",nan,2.0
Acrylamide/Sodium Acryloyldimethyltaurate/Acrylic Acid Copolymer,"['Film Forming', 'Hair Fixing']",nan,2.0
Octyldecanol,"['Emollient', 'Skin Conditioning']",nan,1.0
Octyldodecyl Xyloside,"['Emulsifying', 'Surfactant']",nan,1.0
Luffa Cylindrica Fruit,['Abrasive'],nan,1.0
Dead Sea Mud,[''],nan,1.0
Cetyl Caprylate,"['Emollient', 'Skin Conditioning']",B,1.0
Polyglyceryl-6 Isostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Dodecylhexadecanol,"['Emollient', 'Emulsion Stabilising', 'Skin Conditioning']",nan,1.0
Ganoderma Lucidum (Mushroom) Stem Extract,[''],nan,1.0
Isocetyl Alcohol,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Lentinus Edodes Extract,['Skin Conditioning'],nan,1.0
Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract,"['Hair Conditioning', 'Perfuming', 'Skin Conditioning']",nan,1.0
Isopropyl Jojobate,"['Emollient', 'Skin Conditioning']",B,1.0
Jojoba Alcohol,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling']",A,1.0
Saccharomyces/Xylinum/Black Tea Ferment,['Skin Conditioning'],nan,1.0
Cucumis Melo (Melon) Juice,[''],nan,1.0
Polyquaternium-4,"['Antistatic Agent', 'Film Forming', 'Hair Fixing']",nan,1.0
Potassium Cocoyl Glutamate,"['Hair Conditioning', 'Surfactant']",B,1.0
Potassium Laureth Phosphate,"['Emulsifying', 'Foam Boosting', 'Sufactant', 'Surfactant']",nan,2.0
Acetamide MEA,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Humectant', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
Ethylene Glycol,"['Fragrance', 'Humectant', 'Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",nan,4.0
Passiflora Incarnata Fruit Extract,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Colocasia Antiquorum Root Extract,['Skin Conditioning'],nan,1.0
Aleurites Moluccana (Kukui) Extract,"['Cosmetic Astringent', 'Emollient']",nan,1.0
Tropaeolum Majus Extract,"['Antimicrobial', 'Skin Conditioning', 'Tonic']",nan,1.0
PEG-9,"['Humectant', 'Solvent']",A,3.0
Niacin,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning', 'Smoothing']",A,1.0
Thiamine Nitrate,['Skin Conditioning'],nan,1.0
Phytonadione,['Skin Conditioning'],nan,3.0
DEA-Oleth-3 Phosphate,"['Emulsifying', 'Surfactant']",nan,5.0
Agave Tequilana Leaf Extract,['Cosmetic Astringent'],nan,1.0
Vanilla Tahitensis Fruit Extract,['Skin Conditioning'],nan,1.0
Siraitia Grosvenorii (Monk Fruit),[''],nan,1.0
Elettaria Cardamomum Seed Oil,"['Masking', 'Perfuming', 'Tonic']",nan,1.0
Rosmarinus Officinalis (Rosemary),"['Antioxidant', 'Deodorant', 'Skin Conditioning']",nan,1.0
Acrylamides Copolymer,"['Antistatic Agent', 'Film Forming', 'Viscosity Controlling']",nan,2.0
Acetylsalicylic Acid,[''],nan,6.0
C9-15 Alkyl Phosphate,"['Cleansing', 'Emulsifying', 'Surfactant']",B,1.0
Lauramine Oxide,"['Antistatic Agent', 'Foam Boosting', 'Fragrance', 'Hair Conditioning', 'Hydrotrope', 'Perfuming', 'Sufactant', 'Surfactant -Foam Booster', 'Viscosity Controlling']",B,1.0
Ethyl Linolenate,"['Emollient', 'Fragrance', 'Skin Conditioning']",nan,1.0
Hydroquinone,"['Antioxidant', 'Fragrance', 'Hair Dyeing', 'Hair Dyeing Reducing', 'Skin Bleaching Agent']",nan,9.0
Carbon Dioxide,['Propellant'],nan,1.0
Tetrapeptide-21,['Skin Conditioning'],nan,1.0
Inula Crithmoide Extract,"['Hair Conditioning', 'Skin Protecting']",nan,4.0
Methylsilanol Hydroxyproline Aspartate,"['Antistatic Agent', 'Skin Conditioning']",nan,1.0
Bis-Hydroxyethoxypropyl Dimethicone,"['Emollient', 'Skin Conditioning']",A,1.0
Siloxanetriol Alginate,['Skin Conditioning'],nan,1.0
Acetyl Citrull Amido Arginine,['Skin Protecting'],nan,1.0
Ascorbic Acid Polypeptide,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Atractyloides Macrocephala Root Extract,['Skin Conditioning'],nan,1.0
Stearalkonium Bentonite,"['Gel Forming', 'Suspending Agent - Nonsurfactant', 'Viscosity Controlling']",B,1.0
Cucurbita Pepo (Pumpkin) Seed Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Rosmarinus Officinalis (Rosemary) Oil,[''],nan,1.0
C9-15 Fluoroalcohol Phosphate,['Skin Conditioning'],nan,1.0
Phenylethyl Benzoate,"['Emollient', 'Perfuming']",nan,1.0
Eucalyptol,"['Denaturant', 'Fragrance', 'Perfuming', 'Tonic']",nan,1.0
Medicago Sativa (Alfalfa) Seed Powder,['Skin Conditioning'],nan,1.0
Sesamum Indicum (Sesame) Seed,['Abrasive'],nan,1.0
Potassium Gluconate,"['Chelating Agent', 'Skin Protecting']",A,1.0
Citrus Aurantifolia (Lime) Peel Extract,[''],B,3.0
